case_id,category,arm,answer,latency_ms,retrieval_ms,has_citation,expected_proxy_hits,expected_total
B01,guided_discovery,no_rag,"我听到你那一刻的紧张了——“他肯定觉得我很无能，所有人也都看出来了”这个念头冒出来时，心里一定很不好受。我们不妨先停一下，把它当作一个“想法”，而不是事实。

问自己两个小问题：

1. 除了“老板皱眉”，还有哪些证据能支持“所有人都看出你无能”？有没有任何证据不支持这个想法，比如你之前完成过的类似任务、同事的反馈？

2. 如果朋友遇到同样情况，你会怎么帮他看这件事？你会不会提醒他，“皱眉”也可能只是疲劳、在想别的问题，或者单纯表情习惯？

我们可以一起试着写一个更平衡的替代想法，比如：“老板皱眉可能对我汇报的一部分有疑惑，但不代表否定我整个人。至少我完成了汇报，下一步可以主动问问他的反馈。” 你愿意的话，下次汇报前我们可以先演练一下，好吗？",18598.609114000057,4.1543459999502375,0,2,3
B01,guided_discovery,public_reference_rag,"我能感受到这种时刻的压力——老板的一个表情，立刻让你联想到“能力被否定”，而且觉得所有人都看到了。这种想法来得很快，也很强烈，确实会让人难受。

你刚才说的“他肯定觉得我很无能，所有人也都看出来了”，这很可能是那个瞬间的自动思维。它带着很强的确定性，但不一定等于事实。我们可以一起慢下来看一看，这背后有没有一些常见的“思维习惯”——比如“读心术”（断定老板在想什么）和“灾难化”（把一次皱眉放大成对整体能力的否定）。

如果你愿意，我们可以做个小练习：  
1. 当时除了皱眉，老板还有其他表现吗？比如有没有继续听你讲、或事后问了问题？  
2. 有什么证据能支持“他很失望”这个想法？又有什么证据可能不支持？  
3. 如果好朋友在同样的汇报后皱眉，你会怎么理解他的反应？  

你不需要立刻回答，可以先感受一下这些问题。我不会替你下结论，只想陪你一起把想法摆出来，看看有没有更平衡的视角。你愿意先聊哪一点？",15601.833984999985,4.1543459999502375,0,2,3
B02,emotional_reasoning,no_rag,我听到你把“害怕”直接等同于“考砸”了——这种感觉一定很不好受。但我想和你一起看看：害怕这种情绪，真的等于结果吗？你准备得怎么样，其实和你进考场那一刻的心跳加速、脑子空白，是两回事。或许可以问问自己：以前有没有哪次考试，你也很紧张，但最后还是考得不错？或者，有没有人紧张却依然答完题的情况？情绪有时会骗我们，把“我感觉”说成“事实”。不如我们把这句话改一改：“我现在很害怕，所以我需要先深呼吸、稳定一下，再开始答题。”你觉得这样的说法，是不是更贴近真实？,14055.333470999925,4.827243000022463,0,0,3
B02,emotional_reasoning,public_reference_rag,"听到你这样说，我能感受到那种被紧张攥住的感觉——好像害怕本身就成了“失败”的证据。但情绪和事实有时并不相同。你之前为考试做了准备，这是事实；而“一定会考砸”更像是一个基于紧张感的预测，而不是已经发生的结果。

如果试着把“我这么害怕”和“考试结果”分开看，你心里有没有哪些证据能支持“不一定会考砸",22731.08908200004,4.827243000022463,0,0,3
B03,homework_barrier,no_rag,"我听到你说“一次都没写”，感觉你可能有些失望和挫败。但更让我在意的是，你直接给自己贴上了“懒”的标签，甚至说“CBT对我没用”——这听起来像是一个很严厉的结论。

我们能不能先暂停一下，看看这个想法本身？如果完全没写，也许并不意味着“懒”，而是可能遇到了更具体的事情：比如不知道怎么写、觉得写了也没用、或者那周情绪很低落，光是应付日常就很累了。这些都比“懒”更贴近实际情况。

另外，把“没写”和“CBT没用”划上等号，会不会早了一点？就像刚开始学骑车摔了一跤，就说“我永远学不会”——但往往只是还没找到平衡点。

我想好奇地问：如果上周你有一点点时间，你觉得最可能阻止你打开记录本的那一个念头或感觉是什么？我们可以从那里开始，哪怕只写一句话、几个词，也算一次记录。你愿意试试看吗？",16055.594589000066,9.504571000093165,0,1,3
B03,homework_barrier,public_reference_rag,"听到你这样说，我能感觉到你有些失望和自责。没写记录并不代表你“懒”，更不代表CBT对你没用——它只是说明“每天写”这个要求，暂时不适合你目前的节奏。

在CBT里，我们常常会把“没完成任务”和“我这个人不行”分开看。你愿意告诉我，那天没写的时候，脑子里想过什么吗？比如“反正写了也没用”或者“不知道写什么”？我们可以把这些想法当作探索的对象，而不是事实。

我们也可以把任务改小一点：不用每天写，先试试这周只写一次，甚至只写三行——发生了什么、当时的情绪、一个自动出现的想法。写完就够，不评判好坏。你觉得这个调整可行吗？

如果你想，我现在就可以陪你走一遍，用你刚才说的“我果然很懒”作为例子，看看这个想法带给你的感受，以及有没有别的角度看这件事。",16047.222024999995,9.504571000093165,0,2,3
B04,homework_review,no_rag,"我能感受到你完成目标后的那种复杂心情——既为自己做到而松了口气，又不太敢相信这是自己的能力。其实，“没有人嘲笑我”本身就是一个真实且重要的信息，而你把结果归因于“运气”，这很值得我们一起看一看。

在CBT里，我们常会关注“自动思维”：当你说“只是运气”时，心里可能还有哪些具体的想法？比如“就算这次没说错，下次可能就搞砸了”或者“大家没反应，可能因为我说的不重要”？

我想邀请你做一个简单的小实验：如果换个说法——“我准备过，而且真的开口了，所以有人愿意听”，你觉得这个版本和“只是运气”相比，哪一个更接近实际情况？哪怕只有一点点不同，我们可以试着找找支持“不是运气”的证据，比如：你当时是怎么组织那句话的？你是挑了大家关心的点说的吗？

另外，下一次你可以继续给自己定一个小目标，比如在别人讨论时再补充一句。不急着追求“大家认可”，只要做到“我再次主动发声”，就算进步。你愿意试试看吗？",16644.411838999986,9.368491000032009,0,1,3
B04,homework_review,public_reference_rag,"你做到了之前定下的目标——在周会上说了一句话，还给出了建议。不管大家反应如何，这本身就需要勇气，尤其是对你来说。

我听到你说“只是运气”，好像这件事里你自己的行动、准备和选择都没那么重要。但我想邀请你一起看看：除了运气，还有没有其他可能？

比如，你提出建议之前，是不是有一些思考或准备？你说出来，是因为你自己决定开口，而不是纯粹被动发生的。大家没有嘲笑你，可能也说明这个建议并不突兀。只是“反应普通”，也许让结果显得没那么成功，所以更容易被当成运气。

你可以试着问自己：“如果是我朋友做了同样的事，我会认为那只是运气吗？”或者：“我做了什么，让这个建议被好好接收了？”

如果愿意，可以把这个经历记录下来：你做了什么、结果如何、以及你能看到自己作用的部分。下次哪怕只是一句，也可以当作一次练习。你怎么看这件事？",19783.86045900004,9.368491000032009,0,1,3
B05,thought_record,no_rag,"没关系，我们一步一步来，不需要一下子写完。你可以先把这件事当成一个“小记录”，不用管格式，想到什么说什么。

我们先从最具体的画面开始吧：  
你是什么时候发现朋友已经两天没回消息的？当时你正在做什么？是在等TA回复，还是突然想起这件事？

如果你愿意，可以试着用这样的句子开头：  
“昨天/今天，我给朋友发了消息，到现在已经两天没回复了，我发现的时候……”  

写完这个“情境”之后，可以接着补一句感受：  
“那时候我心里最强烈的感觉是什么？——比如难过、焦虑、失落，还是生气？”  

不用写得很完整，一两句就行。等你写出来，我们可以一起看看，这个情境里有没有一些想法跑出来，比如“TA是不是不想理我了”“我是不是做错了什么”。那些想法本身，就是我们接下来可以一起慢慢梳理的部分。

你可以先试试，或者直接告诉我：“我想到的第一句话是……” 我们从那里开始。",17354.518770000028,5.367288999991615,0,0,3
B05,thought_record,public_reference_rag,"我听到你说“不知道怎么开始”，这很正常，刚开始整理思绪时常常会觉得一团乱。我们可以从很小的地方入手，不用一次做完。

先试着回答这三个简单的问题，想到什么说什么：

1. **情境**：这两天里，具体是什么让你难受？比如“我发了消息，对方没回”或“看到朋友圈更新，却没理我”。
2. **情绪**：你当时的情绪是什么？比如伤心、生气、焦虑？如果用0到10打分，有多强烈？
3. **想法**：那一刻你心里闪过了什么念头？比如“他不在乎我”或“我是不是说错话了”。

你可以先只回答第一个，或者随便挑一个最有感觉的。慢慢来，我会陪你一起整理。",15182.718831999977,5.367288999991615,0,0,3
